hgnc_id	symbol
545	ANXA7
546	ANXA8
23334	ANXA8L1
547	ANXA9
534	ANXA10
535	ANXA11
536	ANXA13
548	AOAH
80	AOC1
549	AOC2
550	AOC3
553	AOX1
28808	AP1AR
554	AP1B1
555	AP1G1
556	AP1G2
13667	AP1M1
558	AP1M2
559	AP1S1
560	AP1S2
18971	AP1S3
561	AP2A1
562	AP2A2
563	AP2B1
564	AP2M1
565	AP2S1
566	AP3B1
567	AP3B2
568	AP3D1
569	AP3M1
570	AP3M2
2013	AP3S1
571	AP3S2
572	AP4B1
573	AP4E1
574	AP4M1
575	AP4S1
25104	AP5B1
20192	AP5M1
15875	AP5S1
22197	AP5Z1
576	APAF1
578	APBA1
579	APBA2
580	APBA3
581	APBB1
17379	APBB1IP
582	APBB2
583	APC
24036	APC2
15718	APCDD1
26892	APCDD1L
584	APCS
586	APEH
48925	APELA
587	APEX1
17889	APEX2
29509	APH1A
24080	APH1B
594	API5
17581	APIP
28724	APLF
16665	APLN
339	APLNR
597	APLP1
598	APLP2
13238	APMAP
600	APOA1
601	APOA2
602	APOA4
17288	APOA5
603	APOB
604	APOBEC1
605	APOBEC2
17343	APOBEC3A
17352	APOBEC3B
17353	APOBEC3C
17354	APOBEC3D
17356	APOBEC3F
17357	APOBEC3G
24100	APOBEC3H
32152	APOBEC4
24087	APOBR
607	APOC1
609	APOC2
610	APOC3
611	APOC4
612	APOD
613	APOE
615	APOF
616	APOH
618	APOL1
619	APOL2
14868	APOL3
14867	APOL4
14869	APOL5
14870	APOL6
25268	APOLD1
13916	APOM
28727	APOO
24009	APOOL
20492	APOPT1
620	APP
622	APPBP2
24035	APPL1
18242	APPL2
626	APRT
15984	APTX
633	AQP1
634	AQP2
636	AQP3
637	AQP4
638	AQP5
639	AQP6
640	AQP7
642	AQP8
643	AQP9
16029	AQP10
19940	AQP11
19941	AQP12A
6096	AQP12B
29513	AQR
644	AR
646	ARAF
16925	ARAP1
16924	ARAP2
24097	ARAP3
648	ARC
649	ARCN1
651	AREG
20363	AREL1
652	ARF1
654	ARF3
655	ARF4
658	ARF5
659	ARF6
15852	ARFGAP1
13504	ARFGAP2
661	ARFGAP3
15772	ARFGEF1
15853	ARFGEF2
21213	ARFGEF3
21496	ARFIP1
17160	ARFIP2
662	ARFRP1
663	ARG1
664	ARG2
30146	ARGFX
25482	ARGLU1
673	ARHGAP1
674	ARHGAP4
675	ARHGAP5
676	ARHGAP6
677	ARHGAP8
14130	ARHGAP9
26099	ARHGAP10
15783	ARHGAP11A
15782	ARHGAP11B
16348	ARHGAP12
21030	ARHGAP15
18239	ARHGAP17
21035	ARHGAP18
23724	ARHGAP19
18357	ARHGAP20
23725	ARHGAP21
30320	ARHGAP22
29293	ARHGAP23
25361	ARHGAP24
28951	ARHGAP25
17073	ARHGAP26
31813	ARHGAP27
25509	ARHGAP28
30207	ARHGAP29
27414	ARHGAP30
29216	ARHGAP31
17399	ARHGAP32
23085	ARHGAP33
4591	ARHGAP35
26388	ARHGAP36
29351	ARHGAP39
16226	ARHGAP40
26545	ARHGAP42
29096	ARHGAP44
17102	ARHGAP45
678	ARHGDIA
679	ARHGDIB
680	ARHGDIG
681	ARHGEF1
682	ARHGEF2
683	ARHGEF3
684	ARHGEF4
13209	ARHGEF5
685	ARHGEF6
15607	ARHGEF7
14561	ARHGEF9
14103	ARHGEF10
25540	ARHGEF10L
14580	ARHGEF11
14193	ARHGEF12
15590	ARHGEF15
15515	ARHGEF16
21726	ARHGEF17
17090	ARHGEF18
26604	ARHGEF19
30275	ARHGEF25
24490	ARHGEF26
30322	ARHGEF28
37252	ARHGEF33
33846	ARHGEF35
34430	ARHGEF37
25968	ARHGEF38
25909	ARHGEF39
25516	ARHGEF40
11110	ARID1A
18040	ARID1B
18037	ARID2
3031	ARID3A
14350	ARID3B
21209	ARID3C
9885	ARID4A
15550	ARID4B
17361	ARID5A
17362	ARID5B
689	ARIH1
690	ARIH2
34425	ARIH2OS
692	ARL1
693	ARL2
17146	ARL2BP
694	ARL3
695	ARL4A
698	ARL4C
656	ARL4D
696	ARL5A
23052	ARL5B
31111	ARL5C
13210	ARL6
697	ARL6IP1
18076	ARL6IP4
16937	ARL6IP5
24048	ARL6IP6
25192	ARL8A
25564	ARL8B
23592	ARL9
22042	ARL10
24046	ARL11
31709	ARL13A
25419	ARL13B
22974	ARL14
26798	ARL14EP
44201	ARL14EPL
25945	ARL15
27902	ARL16
24096	ARL17A
32387	ARL17B
17684	ARMC1
23045	ARMC2
30964	ARMC3
25583	ARMC4
25781	ARMC5
25049	ARMC6
26168	ARMC7
24999	ARMC8
20730	ARMC9
21706	ARMC10
21099	ARMC12
18073	ARMCX1
16869	ARMCX2
24065	ARMCX3
28615	ARMCX4
25772	ARMCX5
26094	ARMCX6
32685	ARMS2
17872	ARMT1
700	ARNT
16876	ARNT2
701	ARNTL
18984	ARNTL2
703	ARPC1A
704	ARPC1B
705	ARPC2
706	ARPC3
707	ARPC4
708	ARPC5
23366	ARPC5L
28782	ARPIN
16967	ARPP19
16968	ARPP21
710	ARR3
711	ARRB1
712	ARRB2
28633	ARRDC1
25225	ARRDC2
29263	ARRDC3
28087	ARRDC4
31407	ARRDC5
713	ARSA
714	ARSB
717	ARSD
719	ARSE
721	ARSF
24102	ARSG
32488	ARSH
32521	ARSI
26286	ARSJ
25239	ARSK
723	ART1
725	ART3
726	ART4
24049	ART5
727	ARTN
29561	ARV1
728	ARVCF
18060	ARX
17452	AS3MT
735	ASAH1
18860	ASAH2
23456	ASAH2B
2720	ASAP1
2721	ASAP2
14987	ASAP3
16011	ASB1
16012	ASB2
16013	ASB3
16009	ASB4
17180	ASB5
17181	ASB6
17182	ASB7
17183	ASB8
17184	ASB9
17185	ASB10
17186	ASB11
19763	ASB12
19765	ASB13
19766	ASB14
19767	ASB15
19768	ASB16
19769	ASB17
19770	ASB18
24268	ASCC1
24103	ASCC2
18697	ASCC3
738	ASCL1
739	ASCL2
740	ASCL3
24311	ASCL4
33169	ASCL5
20995	ASF1A
20996	ASF1B
742	ASGR1
743	ASGR2
19088	ASH1L
744	ASH2L
100	ASIC1
99	ASIC2
101	ASIC3
21263	ASIC4
17537	ASIC5
745	ASIP
746	ASL
750	ASMT
751	ASMTL
752	ASNA1
753	ASNS
24910	ASNSD1
756	ASPA
33856	ASPDH
20123	ASPG
757	ASPH
27380	ASPHD1
30437	ASPHD2
19048	ASPM
14872	ASPN
26321	ASPRV1
13825	ASPSCR1
16448	ASRGL1
758	ASS1
25021	ASTE1
31704	ASTL
773	ASTN1
17021	ASTN2
18318	ASXL1
23805	ASXL2
29357	ASXL3
1350	ASZ1
25903	ATAD1
30123	ATAD2
29230	ATAD2B
25567	ATAD3A
24007	ATAD3B
32151	ATAD3C
25752	ATAD5
21186	ATAT1
779	ATCAY
782	ATE1
783	ATF1
784	ATF2
785	ATF3
786	ATF4
790	ATF5
791	ATF6
2349	ATF6B
792	ATF7
20092	ATF7IP
20397	ATF7IP2
29028	ATG2A
20187	ATG2B
20962	ATG3
16489	ATG4A
20790	ATG4B
16040	ATG4C
20789	ATG4D
589	ATG5
16935	ATG7
22408	ATG9A
21899	ATG9B
20315	ATG10
588	ATG12
29091	ATG13
19962	ATG14
21498	ATG16L1
25464	ATG16L2
25679	ATG101
794	ATIC
11231	ATL1
24047	ATL2
24526	ATL3
795	ATM
29034	ATMIN
3033	ATN1
797	ATOH1
13907	ATOH7
24126	ATOH8
798	ATOX1
799	ATP1A1
800	ATP1A2
801	ATP1A3
14073	ATP1A4
804	ATP1B1
805	ATP1B2
806	ATP1B3
808	ATP1B4
811	ATP2A1
812	ATP2A2
813	ATP2A3
814	ATP2B1
815	ATP2B2
816	ATP2B3
817	ATP2B4
13211	ATP2C1
29103	ATP2C2
819	ATP4A
820	ATP4B
823	ATP5A1
830	ATP5B
833	ATP5C1
837	ATP5D
838	ATP5E
840	ATP5F1
841	ATP5G1
842	ATP5G2
843	ATP5G3
845	ATP5H
846	ATP5I
847	ATP5J
848	ATP5J2
14247	ATP5L
13213	ATP5L2
850	ATP5O
18799	ATP5S
868	ATP6AP1
28091	ATP6AP1L
18305	ATP6AP2
851	ATP6V1A
853	ATP6V1B1
854	ATP6V1B2
856	ATP6V1C1
18264	ATP6V1C2
13527	ATP6V1D
857	ATP6V1E1
18125	ATP6V1E2
16832	ATP6V1F
864	ATP6V1G1
862	ATP6V1G2
18265	ATP6V1G3
18303	ATP6V1H
865	ATP6V0A1
18481	ATP6V0A2
866	ATP6V0A4
861	ATP6V0B
855	ATP6V0C
13724	ATP6V0D1
18266	ATP6V0D2
863	ATP6V0E1
21723	ATP6V0E2
869	ATP7A
870	ATP7B
13531	ATP8A1
13533	ATP8A2
3706	ATP8B1
13534	ATP8B2
13535	ATP8B3
13536	ATP8B4
13540	ATP9A
13541	ATP9B
13542	ATP10A
13543	ATP10B
13549	ATP10D
13552	ATP11A
13553	ATP11B
13554	ATP11C
13816	ATP12A
24215	ATP13A1
30213	ATP13A2
24113	ATP13A3
25422	ATP13A4
31789	ATP13A5
29452	ATP23
18803	ATPAF1
18802	ATPAF2
871	ATPIF1
882	ATR
24090	ATRAID
33499	ATRIP
885	ATRN
29063	ATRNL1
886	ATRX
