HGNC symbol	HGNC ID
C6orf47-AS1	39767
C6orf47	19076
KIR2DL3	6331
IGHV2-70	5577
FAM207BP	39715
IGHV3-71	5621
GXYLT1P1	39676
KIR2DP1	16344
YBX1P8	42429
ZIC2	12873
PGAM1P7	42454
GSTM3	4635
PAFAH1B1	8574
RAB5CP1	45104
SLC9A7	17123
DHX16	2739
MRPL35P3	23731
GPSM3	13945
DNAJC28	1297
NPIPP1	35407
RPSAP6	31458
NFIB	7785
DUOX2	13273
DOCK1	2987
PLPPR1	25993
CNN2P12	39834
ATXN3L	24173
PFN1P6	42988
RRN3	30346
CLIC4	13518
LINC01986	52817
NBPF15	28791
EBI3	3129
ZNF965P	42025
LILRA3	6604
C9orf129	31116
KRTAP13-5P	18929
PRMT8	5188
CREB3L4	18854
FAM117B	14440
LINC02001	52836
GSTM5	4637
CCDC102B	26295
WNK2	14542
ADAM17	195
C17orf50	29581
LINC02447	53379
TRIM8	15579
CCDC191	29272
NAIP	7634
TAF15	11547
AP2A2	562
RPL21P111	36564
FNDC7	26668
NUDT16	26442
SAMD11P1	44473
OR7E90P	14733
MTND4P19	42206
CYP2C19	2621
CHST2	1970
HORMAD1	25245
TMX3	24718
PDK3	8811
MBIP	20427
SOWAHB	32958
NPIPB12	37491
CNTFR	2170
CAPZA3	24205
CACFD1	1365
PPIAL4F	33999
FBXO46	25069
RPL7P6	32430
MEF2BNBP1	49883
TRPM1	7146
MYO3B	15576
FAM169B	26835
IAH1	27696
PBX2P1	8635
SLC8A1-AS1	44102
LARP1B	24704
SPEF1	15874
CYP2C18	2620
LINC01116	49259
SNRPEP9	43574
IGHV3-72	5622
ALS2CL	20605
LINC01117	49260
SACS-AS1	39835
IGHV3-73	5623
BHMG1	44318
LINC01632	52419
SERPINA10	15996
FAM196A	33859
LINC00327	42009
SRGAP2B	35237
PYY3	31855
HMOX2	5014
GALNT6	4128
IGHV3-74	5624
DCAF11	20258
SERTAD3	17931
RNPS1	10080
IGHVII-74-1	5690
LINC00352	42670
LINC01895	52714
ACTG1P1	146
RBP2	9920
ADH5	253
SERPINA6	1540
LINC01203	49634
IGHV3-75	5625
BUB1	1148
GAPDHP47	37803
ST13P15	38850
PDXDC1	28995
POLR2D	9191
SLC8A1	11068
LINC01556	21195
MAMSTR	26689
SLC9A9-AS1	40928
RBP1	9919
GPX1P1	4560
VSIG4	17032
SLC9A9	20653
SNHG9	33102
CDH12P4	37700
IGHV3-76	5626
CNTFR-AS1	48712
IGHVIII-76-1	5708
LINC00331	42048
SFN	10773
RETNLB	20388
BTF3L4P2	39646
IGHV5-78	5660
GSTM3P2	38006
LINC00838	44963
IGLJCOR18	28614
ST6GALNAC4	17846
TANC1	29364
RPL23P11	36457
RPS27AP3	16538
RPS3AP3	16537
HSPD1P8	35145
RBL1	9893
FAM212A	32480
NMNAT3	20989
GPN2	25513
LINC02197	53063
RPS8P6	36947
CHL1-AS1	40148
PMCHL2	9111
AKAP4	374
SLC9A9-AS2	40929
RNF151	23235
COX7C	2292
MRPL50P1	29719
CHL1	1939
DDR1	2730
FUCA1P1	4007
JTB	6201
LINC00554	43697
TNFRSF19	11915
NDUFA12P1	39419
AP2B1	563
UBL7	28221
BRI3BPP1	51482
ZNF100	12880
RPL12P45	51937
ICA1L	14442
BLVRB	1063
LINC00680	44417
ODAM	26043
GOLGA8IP	26660
ALAD	395
AES	307
NFKBIL1	7800
LINC01079	49122
CENPB	1852
SNX29P1	31913
TSPY4	37287
POM121L14P	44414
SMG1P2	49859
GOLGB1	4429
GUSBP4	18220
FOSL1P1	44055
TRAT1	30698
RPSAP15	31464
LINC02059	52902
TM4SF5	11857
BCAR1	971
SLC7A5P1	29458
RAP1GAP	9858
SERPINA2	8985
FBXW4P1	13609
CA5AP1	1379
TP53TG3	30759
BCR	1014
EHMT2-AS1	39751
HLA-DOA	4936
EHMT2	14129
RNF5	10068
CYB5B	24374
SPDYE16	51512
FAM200B	27740
NEU1	7758
UPK3B	21444
SPN	11249
AMMECR1L	28658
PSAPL1	33131
VMO1	30387
SORCS2	16698
QPRT	9755
DNAH9	2953
ZZZ3	24523
RPL12P47	51939
LILRA5	16309
PCYT1B-AS1	40431
PCYT1B	8755
NRK	25391
CRIP3	17751
LINC01812	52616
WHAMMP3	27892
DMPK	2933
DGCR5	16757
DGCR9	17227
DGCR10	17864
WDSUB1	26697
RPL12P5	19669
ZNF43	13109
UBE2CP1	19670
